Title,Description,Img_Link
The Lying Life of Adults,"Young Giovanna navigates her passage from childhood into adolescence as she experiences the different sides of Naples during the 1990s. A girl in search of her true reflection in a divided Naples: the Naples of the heights, which assumes a mask of refinement, and the Naples of the depths, a place of excess and vulgarity.",https://www.themoviedb.org/t/p/w220_and_h330_face/cDy24NY2QIXYUxRzelvhkWGbkPH.jpg
PBS NewsHour,America's first and longest running hour-long nightly news broadcast known for its in-depth coverage of issues and current events.,https://www.themoviedb.org/t/p/w220_and_h330_face/5nfFB1wHQmNxkjaMNNMendPIRzb.jpg
GAP The Series,"Mon, a newly graduated student from university, starts working as an intern in a big company because she admires Sam, the super rich chairwoman since young age. However, when Mon met Sam again, her image of her completely crashed, since she was not like the media shows her.",https://www.themoviedb.org/t/p/w220_and_h330_face/ijFfRpFu378uUXq4Eb4W7uEnOEu.jpg
Corona de lágrimas,"Corona de Lágrimas is a 2012 Mexican telenovela produced by José Alberto Castro for Televisa. It is a remake of Corona de Lágrimas, produced in 1965 and starring Prudencia Grifell and Jorge Lavat.",https://www.themoviedb.org/t/p/w220_and_h330_face/pSksCIGlXAIi58XMgFv3tUgTXDr.jpg
Peaky Blinders,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",https://www.themoviedb.org/t/p/w220_and_h330_face/vUUqzWa2LnHIVqkaKVlVGkVcZIW.jpg
Doctors,"Set in the fictional Midlands town of Letherbridge, defined as being close to the city of Birmingham, this soap opera follows the staff and families of a doctor's surgery.",https://www.themoviedb.org/t/p/w220_and_h330_face/bhEHvxUd5zuySUGhNFngkC4NacQ.jpg
Miraculous: Tales of Ladybug & Cat Noir,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!",https://www.themoviedb.org/t/p/w220_and_h330_face/psDcRgUX38cIeGeADwLRPyO7SYC.jpg
Willow,"Many years after the events of the original film, legendary sorcerer Willow leads a group of misfit heroes on a dangerous rescue mission through a world beyond their wildest imaginations.",https://www.themoviedb.org/t/p/w220_and_h330_face/jhdSPDlhswjN1r6O0pGP3ZvQgU8.jpg
Lucifer,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",https://www.themoviedb.org/t/p/w220_and_h330_face/ekZobS8isE6mA53RAiGDG93hBxL.jpg
Scoop,Scoop is a comprehensive information programme of Television Broadcasts Limited.,https://www.themoviedb.org/t/p/w220_and_h330_face/qo6y0XvSBlKM3XCbYVdcR3a6qyQ.jpg
